Date	Air temperature	Relative Humidity	precipitation	Solar radiation	Vapor pressure
01/08/2019 00:00	23.2	0.92	0	0	2.59
01/08/2019 00:10	23.1	0.91	0	0	2.59
01/08/2019 00:20	23	0.93	0	0	2.59
01/08/2019 00:30	23.2	0.91	0	0	2.59
01/08/2019 00:40	23	0.92	0	0	2.58
01/08/2019 00:50	23	0.93	0	0	2.58
01/08/2019 01:00	22.8	0.94	0	0	2.59
01/08/2019 01:10	23	0.92	0	0	2.59
01/08/2019 01:20	23.1	0.89	0	0	2.59
01/08/2019 01:30	22.8	0.94	0	0	2.59
01/08/2019 01:40	22.8	0.92	0	0	2.57
01/08/2019 01:50	22.8	0.91	0	0	2.57
01/08/2019 02:00	22.5	0.94	0	0	2.56
01/08/2019 02:10	22.7	0.93	0	0	2.56
01/08/2019 02:20	22.8	0.93	0	0	2.55
01/08/2019 02:30	22.8	0.92	0	0	2.55
01/08/2019 02:40	22.7	0.92	0	0	2.55
01/08/2019 02:50	22.8	0.92	0	0	2.56
01/08/2019 03:00	22.9	0.92	0	0	2.57
01/08/2019 03:10	23.1	0.93	0	0	2.58
01/08/2019 03:20	22.8	0.92	0	0	2.59
01/08/2019 03:30	22.7	0.94	0	0	2.59
01/08/2019 03:40	22.7	0.94	0	0	2.57
01/08/2019 03:50	22.7	0.93	0	0	2.55
01/08/2019 04:00	22.2	0.95	0	0	2.54
01/08/2019 04:10	22.3	0.93	0	0	2.53
01/08/2019 04:20	22.6	0.93	0	0	2.52
01/08/2019 04:30	22.5	0.92	0	0	2.5
01/08/2019 04:40	22.7	0.91	0	0	2.5
01/08/2019 04:50	22.7	0.9	0	0	2.48
01/08/2019 05:00	22.5	0.9	0	0	2.47
01/08/2019 05:10	22.8	0.88	0	0	2.47
01/08/2019 05:20	22.6	0.91	0	0	2.49
01/08/2019 05:30	22.4	0.92	0	0	2.5
01/08/2019 05:40	21.9	0.95	0	0	2.49
01/08/2019 05:50	22.6	0.89	0	0	2.48
01/08/2019 06:00	22	0.95	0	0	2.47
01/08/2019 06:10	21.7	0.96	0	0	2.48
01/08/2019 06:20	21.8	0.94	0	0	2.47
01/08/2019 06:30	21.7	0.95	0	0	2.47
01/08/2019 06:40	22.2	0.92	0	0	2.46
01/08/2019 06:50	22.2	0.91	0	0	2.46
01/08/2019 07:00	22	0.93	0	0	2.46
01/08/2019 07:10	21.7	0.94	0	0	2.45
01/08/2019 07:20	21.7	0.94	0	0	2.43
01/08/2019 07:30	21.5	0.95	0	3	2.43
01/08/2019 07:40	21.5	0.95	0	13	2.43
01/08/2019 07:50	21.4	0.95	0	23	2.43
01/08/2019 08:00	22.1	0.93	0	48	2.43
01/08/2019 08:10	21.8	0.95	0	55	2.48
01/08/2019 08:20	21.8	0.96	0	70	2.5
01/08/2019 08:30	22.3	0.93	0	117	2.5
01/08/2019 08:40	22.9	0.93	0	168	2.57
01/08/2019 08:50	23.7	0.93	0	134	2.64
01/08/2019 09:00	23.8	0.94	0	205	2.71
01/08/2019 09:10	24.9	0.85	0	260	2.68
01/08/2019 09:20	25.4	0.83	0	297	2.73
01/08/2019 09:30	24.5	0.89	0	347	2.77
01/08/2019 09:40	26.1	0.81	0	398	2.74
01/08/2019 09:50	26.9	0.8	0	448	2.77
01/08/2019 10:00	26.9	0.73	0	497	2.74
01/08/2019 10:10	28.2	0.69	0	520	2.7
01/08/2019 10:20	26.4	0.75	0	568	2.73
01/08/2019 10:30	27.8	0.76	0	566	2.77
01/08/2019 10:40	27.7	0.79	0	602	2.75
01/08/2019 10:50	28.3	0.7	0	628	2.74
01/08/2019 11:00	27	0.76	0	640	2.66
01/08/2019 11:10	27.7	0.69	0	667	2.64
01/08/2019 11:20	27.8	0.71	0	655	2.59
01/08/2019 11:30	27.8	0.73	0	519	2.6
01/08/2019 11:40	28.8	0.66	0	701	2.6
01/08/2019 11:50	27.8	0.72	0	812	2.65
01/08/2019 12:00	28.8	0.65	0	792	2.69
01/08/2019 12:10	30.2	0.6	0	829	2.71
01/08/2019 12:20	28.6	0.66	0	897	2.67
01/08/2019 12:30	30.1	0.64	0	925	2.7
01/08/2019 12:40	30	0.65	0	949	2.69
01/08/2019 12:50	30	0.61	0	950	2.66
01/08/2019 13:00	30.5	0.64	0	986	2.69
01/08/2019 13:10	30.6	0.64	0	994	2.72
01/08/2019 13:20	30.3	0.62	0	1000	2.7
01/08/2019 13:30	30.7	0.59	0	1040	2.8
01/08/2019 13:40	31.1	0.62	0	1056	2.72
01/08/2019 13:50	30.2	0.65	0	410	2.7
01/08/2019 14:00	30.2	0.63	0	362	2.6
01/08/2019 14:10	30.3	0.61	0	454	2.69
01/08/2019 14:20	30.6	0.63	0	585	2.64
01/08/2019 14:30	30.4	0.59	0	675	2.6
01/08/2019 14:40	30.6	0.64	0	735	2.7
01/08/2019 14:50	29.5	0.62	0	928	2.52
01/08/2019 15:00	29.5	0.58	0	831	2.54
01/08/2019 15:10	30.2	0.63	0	936	2.64
01/08/2019 15:20	31.3	0.64	0	967	2.73
01/08/2019 15:30	31.3	0.63	0	974	2.69
01/08/2019 15:40	31.3	0.55	0	685	2.65
01/08/2019 15:50	30.9	0.62	0	743	2.63
01/08/2019 16:00	31	0.61	0	449	2.63
01/08/2019 16:10	31.1	0.59	0	293	2.67
01/08/2019 16:20	29.7	0.67	0	150	2.79
01/08/2019 16:30	29.1	0.71	0	84	2.83
01/08/2019 16:40	26.9	0.81	0.23	37	2.93
01/08/2019 16:50	19.4	0.99	3.18	26	2.19
01/08/2019 17:00	18.3	0.92	14.13	16	1.96
01/08/2019 17:10	18.7	0.91	9.66	21	1.96
01/08/2019 17:20	19	0.94	2.27	13	2.03
01/08/2019 17:30	19	0.96	0.63	11	2.1
01/08/2019 17:40	19.1	0.95	0.24	2	2.13
01/08/2019 17:50	19.4	0.96	0.1	6	2.15
01/08/2019 18:00	19.6	0.96	0.12	5	2.18
01/08/2019 18:10	20	0.96	0.13	5	2.22
01/08/2019 18:20	20.1	0.97	0	6	2.26
01/08/2019 18:30	20	0.95	0.02	5	2.28
01/08/2019 18:40	20.3	0.97	0.05	5	2.29
01/08/2019 18:50	20.6	0.96	0	5	2.32
01/08/2019 19:00	20.1	1	0.15	5	2.35
01/08/2019 19:10	20.9	0.97	0.19	5	2.37
01/08/2019 19:20	20.6	1	0.26	4	2.39
01/08/2019 19:30	20.9	0.96	0.3	4	2.39
01/08/2019 19:40	20.7	0.97	0.25	4	2.38
01/08/2019 19:50	20.9	0.97	0.06	3	2.37
01/08/2019 20:00	20.9	0.96	0	2	2.37
01/08/2019 20:10	20.9	0.96	0	1	2.37
01/08/2019 20:20	20.7	0.96	0	0	2.36
01/08/2019 20:30	20.9	0.96	0	0	2.37
01/08/2019 20:40	21	0.97	0.02	0	2.39
01/08/2019 20:50	20.9	0.98	0	0	2.41
01/08/2019 21:00	20.9	0.97	0	0	2.4
01/08/2019 21:10	20.8	0.98	0	0	2.4
01/08/2019 21:20	20.8	0.96	0	0	2.39
01/08/2019 21:30	20.6	0.99	0	0	2.39
01/08/2019 21:40	20.7	0.99	0	0	2.38
01/08/2019 21:50	20.7	0.97	0	0	2.38
01/08/2019 22:00	20.8	0.96	0	0	2.38
01/08/2019 22:10	20.7	0.97	0	0	2.36
01/08/2019 22:20	20.6	0.96	0	0	2.34
01/08/2019 22:30	20.5	0.96	0	0	2.31
01/08/2019 22:40	20.5	0.94	0	0	2.28
01/08/2019 22:50	20.6	0.91	0	0	2.24
01/08/2019 23:00	20.3	0.94	0	0	2.24
01/08/2019 23:10	20.3	0.96	0	0	2.24
01/08/2019 23:20	19.7	0.98	0	0	2.25
01/08/2019 23:30	20	0.96	0	0	2.25
01/08/2019 23:40	20	0.97	0	0	2.25
01/08/2019 23:50	19.7	0.98	0	0	2.26
02/08/2019 00:00	19.7	0.98	0	0	2.26
02/08/2019 00:10	20	0.97	0	0	2.24
02/08/2019 00:20	19.6	0.97	0	0	2.24
02/08/2019 00:30	19.7	0.97	0	0	2.23
02/08/2019 00:40	19.5	0.99	0	0	2.23
02/08/2019 00:50	19.7	0.96	0	0	2.23
02/08/2019 01:00	19.7	0.98	0	0	2.23
02/08/2019 01:10	20.1	0.95	0	0	2.22
02/08/2019 01:20	19.7	0.97	0	0	2.24
02/08/2019 01:30	19.5	0.98	0	0	2.24
02/08/2019 01:40	19.8	0.97	0	0	2.24
02/08/2019 01:50	19.7	0.96	0	0	2.23
02/08/2019 02:00	19.8	0.97	0	0	2.24
02/08/2019 02:10	19.8	0.98	0	0	2.25
02/08/2019 02:20	20	0.97	0	0	2.25
02/08/2019 02:30	19.8	0.97	0	0	2.25
02/08/2019 02:40	19.9	0.97	0	0	2.25

02/08/2019 02:50	20	0.96	0	0	2.26
02/08/2019 03:00	20.3	0.95	0	0	2.26
02/08/2019 03:10	20.5	0.94	0	0	2.26
