Date	Air temperature	Relative Humidity	precipitation	Solar radiation	Vapor pressure
01/07/2019 00:00	23.6	0.74	0	0	2.13
01/07/2019 00:10	23.4	0.74	0	0	2.11
01/07/2019 00:20	23.4	0.75	0	0	2.15
01/07/2019 00:30	23.3	0.74	0	0	2.15
01/07/2019 00:40	23.3	0.76	0	0	2.17
01/07/2019 00:50	23.4	0.77	0	0	2.18
01/07/2019 01:00	23.3	0.8	0	0	2.27
01/07/2019 01:10	23.3	0.81	0	0	2.31
01/07/2019 01:20	23.6	0.8	0	0	2.32
01/07/2019 01:30	23.6	0.78	0	0	2.31
01/07/2019 01:40	23.8	0.78	0	0	2.29
01/07/2019 01:50	23.8	0.79	0	0	2.35
01/07/2019 02:00	23.7	0.81	0	0	2.35
01/07/2019 02:10	23.8	0.81	0	0	2.36
01/07/2019 02:20	23.7	0.81	0	0	2.39
01/07/2019 02:30	23.7	0.81	0	0	2.39
01/07/2019 02:40	23.6	0.83	0	0	2.42
01/07/2019 02:50	23.6	0.82	0	0	2.42
01/07/2019 03:00	23.9	0.81	0	0	2.4
01/07/2019 03:10	23.6	0.82	0	0	2.38
01/07/2019 03:20	23.6	0.82	0	0	2.39
01/07/2019 03:30	23.6	0.81	0	0	2.36
01/07/2019 03:40	23.6	0.81	0	0	2.36
01/07/2019 03:50	23.6	0.81	0	0	2.36
01/07/2019 04:00	23.3	0.82	0	0	2.35
01/07/2019 04:10	23.5	0.82	0	0	2.37
01/07/2019 04:20	23.1	0.82	0	0	2.36
01/07/2019 04:30	22.9	0.83	0	0	2.3
01/07/2019 04:40	23.1	0.8	0	0	2.28
01/07/2019 04:50	22.9	0.82	0	0	2.26
01/07/2019 05:00	22.5	0.83	0	0	2.28
01/07/2019 05:10	22.7	0.81	0	0	2.26
01/07/2019 05:20	23.1	0.77	0	0	2.18
01/07/2019 05:30	22.9	0.8	0	0	2.21
01/07/2019 05:40	22.8	0.79	0	0	2.17
01/07/2019 05:50	22.2	0.82	0	0	2.18
01/07/2019 06:00	22.3	0.81	0	0	2.17
01/07/2019 06:10	22	0.81	0	0	2.15
01/07/2019 06:20	22.4	0.79	0	0	2.15
01/07/2019 06:30	22	0.81	0	0	2.12
01/07/2019 06:40	22.1	0.8	0	0	2.1
