Date	            Water Level	                 Soiloisture
June 13th 2019, 12:13:00 p		0
June 13th 2019, 12:13:49 p	0.01	1674
June 13th 2019, 12:14:49 p	0	1556
June 13th 2019, 12:15:49 p	0	1564
June 13th 2019, 12:16:49 p	0.01	1568
June 13th 2019, 12:17:49 p	0.01	1565
June 13th 2019, 12:20:49 p	0.02	1541
June 13th 2019, 12:21:49 p	0.01	1540
June 13th 2019, 12:22:49 p	0.01	1536
June 13th 2019, 12:24:49 p	0.02	1572
June 13th 2019, 12:25:49 p		1574
June 13th 2019, 12:26:50 p	0.03	1581
June 13th 2019, 12:27:49 p	0.03	1582
June 13th 2019, 12:28:06 p		0
June 13th 2019, 12:28:49 p	0.01	1574
June 13th 2019, 12:29:49 p	0.01	1545
June 13th 2019, 12:30:49 p	0.02	1572
June 13th 2019, 12:32:09 p		1597
June 13th 2019, 12:35:26 p		1563
June 13th 2019, 12:37:40 p		1683
June 13th 2019, 12:38:59 p		1601
June 13th 2019, 12:40:17 p		1656
June 13th 2019, 12:42:46 p		1566
June 13th 2019, 12:44:34 p		1564
June 13th 2019, 12:45:52 p		1548
June 13th 2019, 12:47:31 p		1569
June 13th 2019, 12:48:55 p		1573
June 13th 2019, 12:49:59 p		1572
June 13th 2019, 12:51:10 p		1577
June 13th 2019, 12:52:49 p		1468
June 13th 2019, 12:53:58 p		1591
June 13th 2019, 12:56:39 p		1574
June 13th 2019, 12:58:43 p		1574
June 13th 2019, 1:00:20 p		1565
June 13th 2019, 1:01:53 p		1575
June 13th 2019, 1:03:39 p		1573
June 13th 2019, 1:04:39 p		1601
June 13th 2019, 1:05:39 p		1573
June 13th 2019, 1:06:39 p		1689
June 13th 2019, 1:07:39 p		1571
June 13th 2019, 1:08:39 p		1572
June 13th 2019, 1:09:39 p		1551
June 13th 2019, 1:10:39 p		1589
June 13th 2019, 1:11:39 p		1547
June 13th 2019, 1:12:43 p		1657
June 13th 2019, 1:13:44 p		1566
June 13th 2019, 1:14:44 p		1581
June 13th 2019, 1:15:45 p		1607
June 13th 2019, 1:16:54 p		1595
June 13th 2019, 1:17:56 p		1566
June 13th 2019, 1:19:00 p		1574
June 13th 2019, 1:20:31 p		1561
June 13th 2019, 1:21:37 p		1571
June 13th 2019, 1:24:07 p		1537
June 13th 2019, 1:25:14 p		1572
June 13th 2019, 1:26:16 p		1571
June 13th 2019, 1:27:23 p		1568
June 13th 2019, 1:28:23 p		1594
June 13th 2019, 1:29:23 p	0.01	1530
June 13th 2019, 1:30:23 p		1526
June 13th 2019, 1:31:23 p	0.01	1606
June 13th 2019, 1:33:23 p	0.02	1571
June 13th 2019, 1:34:24 p		1563
June 13th 2019, 1:35:23 p		1558
June 13th 2019, 1:38:23 p	0	1451
June 13th 2019, 1:39:23 p	0.03	1578
June 13th 2019, 1:40:23 p		1537
June 13th 2019, 1:41:23 p		1575
June 13th 2019, 1:42:24 p	0.03	1493
June 13th 2019, 1:44:23 p		1589
June 13th 2019, 1:47:23 p		1560
June 13th 2019, 1:48:23 p		1572
June 13th 2019, 1:50:23 p	0.01	1536
June 13th 2019, 1:52:23 p		1571
June 13th 2019, 1:53:23 p		1564
June 13th 2019, 1:56:23 p	0.02	1593
June 13th 2019, 1:58:23 p	0.01	1571
June 13th 2019, 2:03:22 p		1633
June 13th 2019, 2:05:25 p		1589
June 13th 2019, 2:06:23 p	0.01	1574
June 13th 2019, 2:08:25 p	0.03	1539
June 13th 2019, 2:09:25 p	0.02	1662
June 13th 2019, 2:11:24 p	0.02	1595
June 13th 2019, 2:14:24 p		1574
June 13th 2019, 2:15:25 p		1517
June 13th 2019, 2:17:25 p		1548
June 13th 2019, 2:18:25 p	0.02	1638
June 13th 2019, 2:20:24 p		1570
June 13th 2019, 2:21:25 p		1446
June 13th 2019, 2:22:24 p	0.01	1603
June 13th 2019, 2:23:25 p		1571
June 13th 2019, 2:24:24 p		1611
June 13th 2019, 2:25:24 p		1575
June 13th 2019, 2:26:25 p	0	1504
June 13th 2019, 2:27:25 p		1578
June 13th 2019, 2:29:24 p		1542
June 13th 2019, 2:30:25 p	0.02	1582
June 13th 2019, 2:31:30 p		1551
June 13th 2019, 2:32:35 p		1519
June 13th 2019, 2:34:01 p		1585
June 13th 2019, 2:35:09 p		1584
June 13th 2019, 2:36:13 p		1569
June 13th 2019, 2:37:24 p		1567
June 13th 2019, 2:38:28 p		1563
June 13th 2019, 2:39:33 p		1583
June 13th 2019, 2:40:44 p		1570
June 13th 2019, 2:41:47 p		1555
June 13th 2019, 2:43:20 p		1644
June 13th 2019, 2:44:20 p		1579
June 13th 2019, 2:46:20 p		1559
June 13th 2019, 2:48:20 p		1571
June 13th 2019, 2:49:24 p		1549
June 13th 2019, 2:50:26 p		1608
June 13th 2019, 2:51:27 p		1581
